,Year,Area,Total Generation (TWh)
5057,2013,Spain,546.103956
5070,2013,Sweden,240.257726
5083,2013,United Kingdom,770.420498
5096,2014,Austria,126.13322799999976
5109,2014,Belgium,110.45379999999999
5122,2014,Bulgaria,99.25892399999991
5135,2014,Croatia,29.23768399999999
5148,2014,Cyprus,8.699844
5161,2014,Czech Republic,180.41760799999986
5174,2014,Denmark,75.43123999999999
5187,2014,Estonia,24.897427999999902
5200,2014,Finland,119.94604799999999
5213,2014,France,706.7820619999994
5226,2014,Germany,1421.2999999999997
5239,2014,Greece,126.43057999999998
5252,2014,Hungary,49.04188599999999
5265,2014,Ireland,55.57274399999998
5278,2014,Italy,598.313424
5291,2014,Latvia,10.27882199999999
5304,2014,Lithuania,6.93029
5317,2014,Luxembourg,3.8088040000000007
5330,2014,Malta,4.4897800000000005
5343,2014,Netherlands,231.81872799999996
5356,2014,Poland,446.25089399999996
5369,2014,Portugal,115.85901399999977
5382,2014,Romania,136.48727800000003
5395,2014,Slovakia,41.43399999999999
5408,2014,Slovenia,31.707811999999993
5421,2014,Spain,536.3987840000001
5434,2014,Sweden,242.5999339999999
5447,2014,United Kingdom,706.9253599999998
5460,2015,Austria,126.65400599999998
5473,2015,Belgium,112.45649999999999
5486,2015,Bulgaria,104.560024
5499,2015,Croatia,24.784752
5512,2015,Cyprus,9.069503999999998
5525,2015,Czech Republic,179.367716
5538,2015,Denmark,64.991142
5551,2015,Estonia,20.833199999999998
5564,2015,Finland,118.57317400000002
5577,2015,France,722.180380999999
5590,2015,Germany,1465.199999999999
5603,2015,Greece,125.75180200000003
5616,2015,Hungary,50.551632
5629,2015,Ireland,61.07947799999976
5642,2015,Italy,605.1083519999999
5655,2015,Latvia,11.068439999999992
5668,2015,Lithuania,7.989423999999988
5681,2015,Luxembourg,2.6694199999999992
5694,2015,Malta,2.609386
5707,2015,Netherlands,255.75792400000003
5720,2015,Poland,458.9715779999999
5733,2015,Portugal,117.27204399999997
5746,2015,Romania,138.3259119999999
5759,2015,Slovakia,40.74799999999998
5772,2015,Slovenia,28.36192
5785,2015,Spain,549.105184
5798,2015,Sweden,268.00996399999883
5811,2015,United Kingdom,676.227318
5824,2016,Austria,132.55439299999978
5837,2016,Belgium,125.1766999999999
5850,2016,Bulgaria,92.69944199999999
5863,2016,Croatia,27.824624
5876,2016,Cyprus,9.775317999999999
5889,2016,Czech Republic,181.89415200000002
5902,2016,Denmark,69.942047
5915,2016,Estonia,24.3713539999999
5928,2016,Finland,120.75335199999999
5941,2016,France,724.6948339999999
5954,2016,Germany,1466.7
5967,2016,Greece,127.71486999999988
5980,2016,Hungary,53.22504799999999
5993,2016,Ireland,65.13767599999998
6006,2016,Italy,609.99861
6019,2016,Latvia,12.851172
6032,2016,Lithuania,6.813737999999998
6045,2016,Luxembourg,1.5696819999999978
6058,2016,Malta,1.714168
6071,2016,Netherlands,262.9086819999996
6084,2016,Poland,462.49634000000003
6097,2016,Portugal,130.9143
6110,2016,Romania,133.78508599999998
6123,2016,Slovakia,41.399
