,Year,Area,Share_sum(%),Change_sum(%),Latitude,Longitude
79,2002,Slovakia,70.803305168986,-50.112027423436686,48.734044,19.049868
80,2002,Slovenia,113.80962760673285,8.98005319658418,46.06076,14.915312
81,2002,Spain,153.65248744294584,106.96673230936915,40.090953,-3.464718
82,2002,Sweden,11.766215890150134,130.1238099510488,65.85918,19.01705
83,2002,United Kingdom,180.84522277378798,-5.741726674394712,54.402739,-2.116346
84,2003,Austria,93.14912579995593,119.34074272573471,47.518859,14.130515
85,2003,Belgium,95.28129151159024,3.3691829807881004,50.785392,4.800448
86,2003,Bulgaria,149.60750933938596,64.35468726417207,42.508785,25.15709
87,2003,Croatia,135.47810003183758,54.556314421452704,45.805799,16.37241
88,2003,Cyprus,200.0,14.108322324966938,35.216071,33.692434
89,2003,Czech Republic,194.29774321099075,5.535065180143482,49.882364,15.377555
