,Year,Area,Variable,Share of production (%),Change on last year (%)
529,2001,Hungary,Wind,0.0027461038347445198,inf
530,2001,Hungary,Solar,0.0,
531,2001,Hungary,Bioenergy,0.192856126210273,8.41489394547534
532,2001,Hungary,Other renewables,0.0,
539,2001,Ireland,Nuclear,0.0,
540,2001,Ireland,Renewables,4.169373173108149,-13.406408094435001
541,2001,Ireland,Hydro,2.4196167586878796,-29.634002361275
542,2001,Ireland,Wind,1.35595972718415,36.885245901639294
543,2001,Ireland,Solar,0.0,
544,2001,Ireland,Bioenergy,0.39379668723611494,2.1052631578947403
545,2001,Ireland,Other renewables,0.0,
552,2001,Italy,Nuclear,0.0,
553,2001,Italy,Renewables,20.049054082177,6.8168140498535
554,2001,Italy,Hydro,17.268534163326798,5.90692245328143
555,2001,Italy,Wind,0.434938753263889,109.413854351687
556,2001,Italy,Solar,0.00700919110433749,5.55555555555555
557,2001,Italy,Bioenergy,0.6759180635741671,31.4633950340025
558,2001,Italy,Other renewables,1.6626539109078402,-4.20828905419766
565,2001,Latvia,Nuclear,0.0,
566,2001,Latvia,Renewables,66.3327983028553,0.5509329665169139
567,2001,Latvia,Hydro,66.1920315504435,0.49475783008892105
568,2001,Latvia,Wind,0.0802078441542663,-22.2775639574371
569,2001,Latvia,Solar,0.0,
570,2001,Latvia,Bioenergy,0.0605589082574594,inf
571,2001,Latvia,Other renewables,0.0,
578,2001,Lithuania,Nuclear,79.49036614821391,34.956645682385
579,2001,Lithuania,Renewables,2.29163407622287,-3.5584527237502903
580,2001,Lithuania,Hydro,2.2776417568868,-4.14730804788571
581,2001,Lithuania,Wind,0.0,
582,2001,Lithuania,Solar,0.0,
583,2001,Lithuania,Bioenergy,0.01399231933607,inf
584,2001,Lithuania,Other renewables,0.0,
591,2001,Luxembourg,Nuclear,0.0,
592,2001,Luxembourg,Renewables,19.3177262610763,-1.72762381401674
593,2001,Luxembourg,Hydro,13.5970914720966,-4.430625728721361
594,2001,Luxembourg,Wind,2.73480879378113,-4.0536717455441895
595,2001,Luxembourg,Solar,0.00529912403175788,14.9999999999999
596,2001,Luxembourg,Bioenergy,2.98052687116677,15.752505368647
597,2001,Luxembourg,Other renewables,0.0,
604,2001,Malta,Nuclear,0.0,
605,2001,Malta,Renewables,0.0,
606,2001,Malta,Hydro,0.0,
607,2001,Malta,Wind,0.0,
608,2001,Malta,Solar,0.0,
609,2001,Malta,Bioenergy,0.0,
610,2001,Malta,Other renewables,0.0,
617,2001,Netherlands,Nuclear,4.25598394714787,1.2735608762098798
618,2001,Netherlands,Renewables,3.53473061125552,11.147219295794999
619,2001,Netherlands,Hydro,0.125537611000391,-17.6584989117461
620,2001,Netherlands,Wind,0.883544836432292,-0.435448656864045
