,Unnamed: 0,Year,Area,Variable,Generation (TWh),Share of production (%),Change on last year (%),Change on last year (TWh)
222,324,2000,Luxembourg,Coal,0.0,0.0,,
223,325,2000,Luxembourg,Hard Coal,0.0,0.0,,
224,326,2000,Luxembourg,Lignite,0.0,0.0,,
225,327,2000,Luxembourg,Gas,0.214561,51.187718440232295,,
226,328,2000,Luxembourg,Other fossil,0.033964999999999995,8.10301432610069,,
227,329,2000,Luxembourg,Nuclear,0.0,0.0,,
229,331,2000,Luxembourg,Hydro,0.123504,29.4642921045411,,
230,333,2000,Luxembourg,Wind,0.0247429999999999,5.902926055371981,,
231,334,2000,Luxembourg,Solar,4e-05,0.00954278148223253,,
232,335,2000,Luxembourg,Bioenergy,0.022352,5.33250629227154,,
233,336,2000,Luxembourg,Other renewables,0.0,0.0,,
234,340,2000,Malta,Fossil,1.9169999999999998,100.0,,
235,341,2000,Malta,Coal,0.0,0.0,,
236,342,2000,Malta,Hard Coal,0.0,0.0,,
237,343,2000,Malta,Lignite,0.0,0.0,,
238,344,2000,Malta,Gas,0.0,0.0,,
239,345,2000,Malta,Other fossil,1.9169999999999998,100.0,,
240,346,2000,Malta,Nuclear,0.0,0.0,,
242,348,2000,Malta,Hydro,0.0,0.0,,
243,350,2000,Malta,Wind,0.0,0.0,,
244,351,2000,Malta,Solar,0.0,0.0,,
245,352,2000,Malta,Bioenergy,0.0,0.0,,
246,353,2000,Malta,Other renewables,0.0,0.0,,
247,357,2000,Netherlands,Fossil,82.486017,92.2837587498575,,
248,358,2000,Netherlands,Coal,24.276,27.159518775303898,,
249,359,2000,Netherlands,Hard Coal,24.276,27.159518775303898,,
250,360,2000,Netherlands,Lignite,0.0,0.0,,
251,361,2000,Netherlands,Gas,51.522,57.6418160463507,,
252,362,2000,Netherlands,Other fossil,6.6880169999999906,7.482423928202831,,
253,363,2000,Netherlands,Nuclear,3.926,4.3923327859549905,,
255,365,2000,Netherlands,Hydro,0.14243,0.159347926312676,,
256,367,2000,Netherlands,Wind,0.8290299999999989,0.9275027125675659,,
257,368,2000,Netherlands,Solar,0.00768399999999999,0.008596710424676041,,
258,369,2000,Netherlands,Bioenergy,1.991866,2.22846111488258,,
259,370,2000,Netherlands,Other renewables,0.0,0.0,,
260,374,2000,Poland,Fossil,140.842596,98.37121943057551,,
261,375,2000,Poland,Coal,135.888,94.9106921174759,,
262,376,2000,Poland,Hard Coal,82.419,57.565379824783896,,
263,377,2000,Poland,Lignite,53.468999999999994,37.3453122926919,,
264,378,2000,Poland,Gas,0.9279999999999999,0.648159677712657,,
265,379,2000,Poland,Other fossil,4.026596,2.8123676353869302,,
266,380,2000,Poland,Nuclear,0.0,0.0,,
268,382,2000,Poland,Hydro,2.106,1.47093133756773,,
269,384,2000,Poland,Wind,0.005,0.00349223964284837,,
270,385,2000,Poland,Solar,0.0,0.0,,
271,386,2000,Poland,Bioenergy,0.221,0.154356992213898,,
272,387,2000,Poland,Other renewables,0.0,0.0,,
273,391,2000,Portugal,Fossil,30.504,70.3310891819607,,
274,392,2000,Portugal,Coal,14.595,33.6507424144609,,
275,393,2000,Portugal,Hard Coal,14.595,33.6507424144609,,
276,394,2000,Portugal,Lignite,0.0,0.0,,
277,395,2000,Portugal,Gas,7.138,16.457622429217,,
278,396,2000,Portugal,Other fossil,8.771,20.2227243382827,,
279,397,2000,Portugal,Nuclear,0.0,0.0,,
281,399,2000,Portugal,Hydro,11.323,26.1067047864982,,
282,401,2000,Portugal,Wind,0.168,0.38734667527437,,
283,402,2000,Portugal,Solar,0.001,0.00230563497187125,,
284,403,2000,Portugal,Bioenergy,1.296,2.98810292354514,,
285,404,2000,Portugal,Other renewables,0.08,0.18445079774970002,,
286,408,2000,Romania,Fossil,31.326,60.756400310318,,
287,409,2000,Romania,Coal,18.926,36.7067494181536,,
288,410,2000,Romania,Hard Coal,0.38299999999999995,0.742823894491854,,
289,411,2000,Romania,Lignite,18.543,35.96392552366171,,
290,412,2000,Romania,Gas,9.001,17.4573312645461,,
291,413,2000,Romania,Other fossil,3.3989999999999996,6.592319627618299,,
292,414,2000,Romania,Nuclear,5.456,10.5818463925523,,
294,416,2000,Romania,Hydro,14.777999999999999,28.6617532971295,,
295,418,2000,Romania,Wind,0.0,0.0,,
296,419,2000,Romania,Solar,0.0,0.0,,
297,420,2000,Romania,Bioenergy,0.0,0.0,,
298,421,2000,Romania,Other renewables,0.0,0.0,,
299,425,2000,Slovakia,Fossil,9.689,31.4598350542243,,
300,426,2000,Slovakia,Coal,5.584,18.1310474706149,,
301,427,2000,Slovakia,Hard Coal,3.3689999999999998,10.9390220144165,,
302,428,2000,Slovakia,Lignite,2.215,7.192025456198451,,
303,429,2000,Slovakia,Gas,3.344,10.857847912202,,
304,430,2000,Slovakia,Other fossil,0.7609999999999999,2.47093967140723,,
305,431,2000,Slovakia,Nuclear,16.494,53.555425676991995,,
307,433,2000,Slovakia,Hydro,4.61499999999999,14.984739268783601,,
308,435,2000,Slovakia,Wind,0.0,0.0,,
309,436,2000,Slovakia,Solar,0.0,0.0,,
310,437,2000,Slovakia,Bioenergy,0.0,0.0,,
311,438,2000,Slovakia,Other renewables,0.0,0.0,,
