,Year,Area,Share_sum(%),Change_sum(%)
1215,2003,France,89.78154233314913,59.13408280916624
1228,2003,Germany,34.9610991557688,85.44707048052094
1241,2003,Greece,10.175287108194443,110.3832565284178
1254,2003,Hungary,33.237043085156095,549.9073863789718
1267,2003,Ireland,4.577450625477639,-12.541466502565218
1280,2003,Italy,16.42161057655555,49.97759127135898
1293,2003,Latvia,58.823276394418095,470.173641525289
1306,2003,Lithuania,84.75411658947704,71.48616657968354
1319,2003,Luxembourg,5.05892907900305,2284.135403032088
1332,2003,Malta,0.0,0.0
1345,2003,Netherlands,8.261002385601078,49.886034441407375
1358,2003,Poland,1.4999071957420982,83.15769786863652
1371,2003,Portugal,38.05378216289414,176.77662732990387
1384,2003,Romania,33.12849875093444,-28.3791538561172
1397,2003,Slovakia,69.25337466899165,inf
1410,2003,Slovenia,59.95880306612383,3.9523509998055104
1423,2003,Spain,45.72120392394628,152.42156726480857
1436,2003,Sweden,93.1798785572227,8.457201991646894
1449,2003,United Kingdom,25.11096227755671,-49.97205200260835
1462,2004,Austria,63.98423819715513,169.68166743129441
1475,2004,Belgium,57.86324007437338,inf
1488,2004,Bulgaria,48.203739655211564,inf
1501,2004,Croatia,54.92422606968608,inf
1514,2004,Cyprus,0.01920602255172586,inf
1527,2004,Czech Republic,34.69096372413468,253.05285150137917
1540,2004,Denmark,23.55080531433233,63.509161525771404
1553,2004,Estonia,0.582298136645962,102.56410256410251
1566,2004,Finland,56.4888382267628,110.35242263054765
1579,2004,France,90.060143245945,63.35777132139598
1592,2004,Germany,36.70534401045919,170.93292817318047
1605,2004,Greece,10.062066270935206,inf
1618,2004,Hungary,38.123995676318344,418.0666832029558
1631,2004,Ireland,5.528455284552833,76.36848436837735
1644,2004,Italy,18.272234222316474,89.89045793632154
1657,2004,Latvia,68.16115191374291,96.41050684916034
1670,2004,Lithuania,83.57570823569522,inf
1683,2004,Luxembourg,5.77274832034374,663.7921885334412
1696,2004,Malta,0.0,0.0
1709,2004,Netherlands,9.037399718154546,131.134584321439
1722,2004,Poland,2.1059123801250026,155.3415102841789
1735,2004,Portugal,27.470843556600222,31.786610103924378
1748,2004,Romania,39.05384573437004,70.96157083383551
1761,2004,Slovakia,69.48751642575542,133.32711349952723
1774,2004,Slovenia,63.3472027584398,142.04369633869103
1787,2004,Spain,41.56415224817289,32.8879222543904
1800,2004,Sweden,96.03685397803046,121.90529906459429
1813,2004,United Kingdom,24.05874610699107,181.93702354721378
1826,2005,Austria,63.39982232983679,101.36321281639493
1839,2005,Belgium,58.16847929180564,208.79081931975972
1852,2005,Bulgaria,52.25122271309423,406.54332461279637
1865,2005,Croatia,54.06885459349745,642.249495187895
1878,2005,Cyprus,0.021042189246732998,25.2212389380531
1891,2005,Czech Republic,34.00564147023384,172.2188589638698
1904,2005,Denmark,27.070573304640497,-5.193578097939598
1917,2005,Estonia,1.0909102311331191,592.77
1930,2005,Finland,66.45255832485893,37.67843829786795
1943,2005,France,88.90845443641976,77.95845163980903
1956,2005,Germany,36.7396593673965,156.00521318536744
1969,2005,Greece,10.780297042068554,41.231240321594875
1982,2005,Hungary,43.919695765170324,225.24717413312078
1995,2005,Ireland,7.310545611655963,89.4636739267455
2008,2005,Italy,16.380040314828978,27.66131216893826
2021,2005,Latvia,69.58797412287187,13.129955586279792
2034,2005,Lithuania,75.95359846519509,35.91041061523334
2047,2005,Luxembourg,6.250334490708541,122.7526884079613
2060,2005,Malta,0.0,0.0
2073,2005,Netherlands,11.48291501814975,72.12018040965079
2086,2005,Poland,2.481366254971405,54.677047184273725
